Iterations,Accuracy (%),ATK,Aggregator,seed,f
30,13.942307692307692,GA,AVG,1,5
60,11.71875,GA,AVG,1,5
90,10.466746794871796,GA,AVG,1,5
120,15.705128205128204,GA,AVG,1,5
150,14.162660256410257,GA,AVG,1,5
180,10.9375,GA,AVG,1,5
210,12.179487179487179,GA,AVG,1,5
240,15.134214743589743,GA,AVG,1,5
270,12.459935897435898,GA,AVG,1,5
300,15.224358974358974,GA,AVG,1,5
330,14.993990384615385,GA,AVG,1,5
360,12.810496794871796,GA,AVG,1,5
390,6.931089743589744,GA,AVG,1,5
420,10.06610576923077,GA,AVG,1,5
450,10.466746794871796,GA,AVG,1,5
480,11.278044871794872,GA,AVG,1,5
510,12.870592948717949,GA,AVG,1,5
540,14.403044871794872,GA,AVG,1,5
570,10.376602564102564,GA,AVG,1,5
600,15.404647435897436,GA,AVG,1,5
630,12.66025641025641,GA,AVG,1,5
660,11.608573717948717,GA,AVG,1,5
690,12.510016025641026,GA,AVG,1,5
720,16.61658653846154,GA,AVG,1,5
750,15.514823717948717,GA,AVG,1,5
780,14.242788461538462,GA,AVG,1,5
810,13.28125,GA,AVG,1,5
840,15.594951923076923,GA,AVG,1,5
870,17.477964743589745,GA,AVG,1,5
900,11.087740384615385,GA,AVG,1,5
930,19.12059294871795,GA,AVG,1,5
960,18.950320512820515,GA,AVG,1,5
990,12.189503205128204,GA,AVG,1,5
1020,13.591746794871796,GA,AVG,1,5
1050,16.937099358974358,GA,AVG,1,5
1080,15.685096153846153,GA,AVG,1,5
1110,12.840544871794872,GA,AVG,1,5
1140,14.262820512820513,GA,AVG,1,5
1170,12.510016025641026,GA,AVG,1,5
1200,13.982371794871796,GA,AVG,1,5
1230,18.018830128205128,GA,AVG,1,5
1260,17.928685897435898,GA,AVG,1,5
1290,12.349759615384615,GA,AVG,1,5
1320,10.737179487179487,GA,AVG,1,5
1350,13.541666666666666,GA,AVG,1,5
1380,19.76161858974359,GA,AVG,1,5
1410,14.232772435897436,GA,AVG,1,5
1440,18.008814102564102,GA,AVG,1,5
1470,16.38621794871795,GA,AVG,1,5
1500,15.194310897435898,GA,AVG,1,5
1530,10.01602564102564,GA,AVG,1,5
1560,10.116185897435898,GA,AVG,1,5
1590,14.302884615384615,GA,AVG,1,5
1620,12.109375,GA,AVG,1,5
1650,13.631810897435898,GA,AVG,1,5
1680,11.508413461538462,GA,AVG,1,5
1710,13.181089743589743,GA,AVG,1,5
1740,15.164262820512821,GA,AVG,1,5
1770,17.768429487179485,GA,AVG,1,5
1800,15.705128205128204,GA,AVG,1,5
1830,12.029246794871796,GA,AVG,1,5
1860,12.379807692307692,GA,AVG,1,5
1890,16.856971153846153,GA,AVG,1,5
1920,20.182291666666668,GA,AVG,1,5
1950,15.995592948717949,GA,AVG,1,5
1980,17.59815705128205,GA,AVG,1,5
2010,13.942307692307692,GA,AVG,1,5
2040,17.548076923076923,GA,AVG,1,5
2070,14.833733974358974,GA,AVG,1,5
2100,10.897435897435898,GA,AVG,1,5
2130,10.576923076923077,GA,AVG,1,5
2160,19.140625,GA,AVG,1,5
2190,15.224358974358974,GA,AVG,1,5
2220,12.720352564102564,GA,AVG,1,5
2250,10.146233974358974,GA,AVG,1,5
2280,17.87860576923077,GA,AVG,1,5
2310,17.59815705128205,GA,AVG,1,5
2340,13.661858974358974,GA,AVG,1,5
2370,18.810096153846153,GA,AVG,1,5
2400,16.97716346153846,GA,AVG,1,5
2430,18.579727564102566,GA,AVG,1,5
2460,20.713141025641026,GA,AVG,1,5
2490,19.921875,GA,AVG,1,5
2520,20.462740384615383,GA,AVG,1,5
2550,22.65625,GA,AVG,1,5
2580,23.187099358974358,GA,AVG,1,5
2610,25.62099358974359,GA,AVG,1,5
2640,23.217147435897434,GA,AVG,1,5
2670,17.497996794871796,GA,AVG,1,5
2700,21.484375,GA,AVG,1,5
2730,21.16386217948718,GA,AVG,1,5
2760,22.63621794871795,GA,AVG,1,5
2790,23.637820512820515,GA,AVG,1,5
2820,25.641025641025642,GA,AVG,1,5
2850,24.188701923076923,GA,AVG,1,5
2880,26.181891025641026,GA,AVG,1,5
2910,22.846554487179485,GA,AVG,1,5
2940,25.530849358974358,GA,AVG,1,5
2970,24.869791666666668,GA,AVG,1,5
3000,25.560897435897434,GA,AVG,1,5
30,19.781650641025642,SF,AVG,1,5
60,24.809695512820515,SF,AVG,1,5
90,27.143429487179485,SF,AVG,1,5
120,31.350160256410255,SF,AVG,1,5
150,33.36338141025641,SF,AVG,1,5
180,34.865785256410255,SF,AVG,1,5
210,36.74879807692308,SF,AVG,1,5
240,37.09935897435897,SF,AVG,1,5
270,38.74198717948718,SF,AVG,1,5
300,39.36298076923077,SF,AVG,1,5
330,40.85536858974359,SF,AVG,1,5
360,41.59655448717949,SF,AVG,1,5
390,41.97716346153846,SF,AVG,1,5
420,43.29927884615385,SF,AVG,1,5
450,43.860176282051285,SF,AVG,1,5
480,44.69150641025641,SF,AVG,1,5
510,45.93349358974359,SF,AVG,1,5
540,46.04366987179487,SF,AVG,1,5
570,46.96514423076923,SF,AVG,1,5
600,47.38581730769231,SF,AVG,1,5
630,48.547676282051285,SF,AVG,1,5
660,48.57772435897436,SF,AVG,1,5
690,49.499198717948715,SF,AVG,1,5
720,50.54086538461539,SF,AVG,1,5
750,50.73116987179487,SF,AVG,1,5
780,51.63261217948718,SF,AVG,1,5
810,52.00320512820513,SF,AVG,1,5
840,52.473958333333336,SF,AVG,1,5
870,52.39383012820513,SF,AVG,1,5
900,53.92628205128205,SF,AVG,1,5
930,53.806089743589745,SF,AVG,1,5
960,53.95633012820513,SF,AVG,1,5
990,54.977964743589745,SF,AVG,1,5
1020,55.0380608974359,SF,AVG,1,5
1050,56.46033653846154,SF,AVG,1,5
1080,56.49038461538461,SF,AVG,1,5
