Iterations,Accuracy (%),niid,Aggregator,seed,f
30,10.897435897435898,0.3,Average,1,6
60,11.618589743589743,0.3,Average,1,6
90,16.947115384615383,0.3,Average,1,6
120,19.791666666666668,0.3,Average,1,6
150,15.454727564102564,0.3,Average,1,6
180,9.845753205128204,0.3,Average,1,6
210,14.282852564102564,0.3,Average,1,6
240,17.237580128205128,0.3,Average,1,6
270,14.252804487179487,0.3,Average,1,6
300,16.42628205128205,0.3,Average,1,6
330,16.466346153846153,0.3,Average,1,6
360,20.783253205128204,0.3,Average,1,6
390,17.437900641025642,0.3,Average,1,6
420,20.282451923076923,0.3,Average,1,6
450,19.270833333333332,0.3,Average,1,6
480,15.434695512820513,0.3,Average,1,6
510,13.731971153846153,0.3,Average,1,6
540,15.154246794871796,0.3,Average,1,6
570,9.985977564102564,0.3,Average,1,6
600,17.55809294871795,0.3,Average,1,6
630,19.000400641025642,0.3,Average,1,6
660,18.259214743589745,0.3,Average,1,6
690,20.072115384615383,0.3,Average,1,6
720,19.861778846153847,0.3,Average,1,6
750,18.229166666666668,0.3,Average,1,6
780,19.310897435897434,0.3,Average,1,6
810,17.237580128205128,0.3,Average,1,6
840,18.05889423076923,0.3,Average,1,6
870,16.796875,0.3,Average,1,6
900,17.07732371794872,0.3,Average,1,6
930,18.509615384615383,0.3,Average,1,6
960,18.499599358974358,0.3,Average,1,6
990,20.252403846153847,0.3,Average,1,6
1020,15.895432692307692,0.3,Average,1,6
1050,12.33974358974359,0.3,Average,1,6
1080,16.68669871794872,0.3,Average,1,6
1110,20.092147435897434,0.3,Average,1,6
1140,21.294070512820515,0.3,Average,1,6
1170,19.60136217948718,0.3,Average,1,6
1200,20.342548076923077,0.3,Average,1,6
1230,16.215945512820515,0.3,Average,1,6
1260,16.86698717948718,0.3,Average,1,6
1290,14.242788461538462,0.3,Average,1,6
1320,17.918669871794872,0.3,Average,1,6
1350,20.142227564102566,0.3,Average,1,6
1380,20.442708333333332,0.3,Average,1,6
1410,16.456330128205128,0.3,Average,1,6
1440,23.928285256410255,0.3,Average,1,6
1470,18.58974358974359,0.3,Average,1,6
1500,16.88701923076923,0.3,Average,1,6
1530,20.29246794871795,0.3,Average,1,6
1560,14.31290064102564,0.3,Average,1,6
1590,11.85897435897436,0.3,Average,1,6
1620,21.25400641025641,0.3,Average,1,6
1650,13.792067307692308,0.3,Average,1,6
1680,20.192307692307693,0.3,Average,1,6
1710,17.96875,0.3,Average,1,6
1740,14.783653846153847,0.3,Average,1,6
1770,12.089342948717949,0.3,Average,1,6
1800,15.37459935897436,0.3,Average,1,6
1830,13.701923076923077,0.3,Average,1,6
1860,9.985977564102564,0.3,Average,1,6
1890,17.778445512820515,0.3,Average,1,6
1920,17.447916666666668,0.3,Average,1,6
1950,17.658253205128204,0.3,Average,1,6
1980,21.16386217948718,0.3,Average,1,6
2010,16.38621794871795,0.3,Average,1,6
2040,13.151041666666666,0.3,Average,1,6
2070,15.494791666666666,0.3,Average,1,6
2100,15.39463141025641,0.3,Average,1,6
2130,15.314503205128204,0.3,Average,1,6
2160,19.100560897435898,0.3,Average,1,6
2190,19.35096153846154,0.3,Average,1,6
2220,12.740384615384615,0.3,Average,1,6
2250,14.913862179487179,0.3,Average,1,6
2280,20.903445512820515,0.3,Average,1,6
2310,21.80488782051282,0.3,Average,1,6
2340,22.075320512820515,0.3,Average,1,6
2370,22.666266025641026,0.3,Average,1,6
2400,22.72636217948718,0.3,Average,1,6
2430,22.465945512820515,0.3,Average,1,6
2460,22.72636217948718,0.3,Average,1,6
2490,22.856570512820515,0.3,Average,1,6
2520,22.826522435897434,0.3,Average,1,6
2550,23.13701923076923,0.3,Average,1,6
2580,24.14863782051282,0.3,Average,1,6
2610,23.397435897435898,0.3,Average,1,6
2640,24.03846153846154,0.3,Average,1,6
2670,23.167067307692307,0.3,Average,1,6
2700,24.03846153846154,0.3,Average,1,6
2730,23.337339743589745,0.3,Average,1,6
2760,23.477564102564102,0.3,Average,1,6
2790,24.609375,0.3,Average,1,6
2820,24.088541666666668,0.3,Average,1,6
2850,25.240384615384617,0.3,Average,1,6
2880,24.338942307692307,0.3,Average,1,6
2910,24.869791666666668,0.3,Average,1,6
2940,25.130208333333332,0.3,Average,1,6
2970,24.138621794871796,0.3,Average,1,6
3000,23.36738782051282,0.3,Average,1,6
30,7.862580128205129,0.5,Average,1,6
60,10.24639423076923,0.5,Average,1,6
90,9.99599358974359,0.5,Average,1,6
120,13.14102564102564,0.5,Average,1,6
150,18.17908653846154,0.5,Average,1,6
180,10.827323717948717,0.5,Average,1,6
210,9.344951923076923,0.5,Average,1,6
240,10.06610576923077,0.5,Average,1,6
270,12.910657051282051,0.5,Average,1,6
300,10.657051282051283,0.5,Average,1,6
330,10.436698717948717,0.5,Average,1,6
360,14.443108974358974,0.5,Average,1,6
390,9.935897435897436,0.5,Average,1,6
420,11.368189102564102,0.5,Average,1,6
450,13.51161858974359,0.5,Average,1,6
480,12.680288461538462,0.5,Average,1,6
510,13.451522435897436,0.5,Average,1,6
540,11.448317307692308,0.5,Average,1,6
570,13.331330128205128,0.5,Average,1,6
600,12.089342948717949,0.5,Average,1,6
630,11.328125,0.5,Average,1,6
660,7.071314102564102,0.5,Average,1,6
690,12.40985576923077,0.5,Average,1,6
720,9.985977564102564,0.5,Average,1,6
750,14.012419871794872,0.5,Average,1,6
780,6.71073717948718,0.5,Average,1,6
810,10.076121794871796,0.5,Average,1,6
840,11.788862179487179,0.5,Average,1,6
870,10.9375,0.5,Average,1,6
900,11.46834935897436,0.5,Average,1,6
930,8.904246794871796,0.5,Average,1,6
960,7.49198717948718,0.5,Average,1,6
990,8.914262820512821,0.5,Average,1,6
1020,9.945913461538462,0.5,Average,1,6
1050,10.697115384615385,0.5,Average,1,6
1080,12.580128205128204,0.5,Average,1,6
1110,10.977564102564102,0.5,Average,1,6
1140,12.900641025641026,0.5,Average,1,6
1170,15.685096153846153,0.5,Average,1,6
1200,12.099358974358974,0.5,Average,1,6
1230,10.627003205128204,0.5,Average,1,6
1260,11.318108974358974,0.5,Average,1,6
1290,10.01602564102564,0.5,Average,1,6
1320,10.436698717948717,0.5,Average,1,6
1350,10.466746794871796,0.5,Average,1,6
1380,10.106169871794872,0.5,Average,1,6
1410,9.99599358974359,0.5,Average,1,6
1440,14.112580128205128,0.5,Average,1,6
1470,10.176282051282051,0.5,Average,1,6
1500,10.086137820512821,0.5,Average,1,6
1530,10.236378205128204,0.5,Average,1,6
1560,10.45673076923077,0.5,Average,1,6
1590,10.767227564102564,0.5,Average,1,6
1620,8.974358974358974,0.5,Average,1,6
1650,9.575320512820513,0.5,Average,1,6
1680,10.006009615384615,0.5,Average,1,6
1710,10.38661858974359,0.5,Average,1,6
1740,12.910657051282051,0.5,Average,1,6
1770,10.06610576923077,0.5,Average,1,6
1800,11.999198717948717,0.5,Average,1,6
1830,12.19951923076923,0.5,Average,1,6
1860,10.84735576923077,0.5,Average,1,6
1890,9.645432692307692,0.5,Average,1,6
1920,10.026041666666666,0.5,Average,1,6
1950,10.747195512820513,0.5,Average,1,6
1980,9.755608974358974,0.5,Average,1,6
2010,10.036057692307692,0.5,Average,1,6
2040,10.126201923076923,0.5,Average,1,6
2070,10.807291666666666,0.5,Average,1,6
2100,11.247996794871796,0.5,Average,1,6
2130,10.70713141025641,0.5,Average,1,6
2160,10.256410256410257,0.5,Average,1,6
2190,12.910657051282051,0.5,Average,1,6
2220,13.90224358974359,0.5,Average,1,6
2250,10.727163461538462,0.5,Average,1,6
2280,11.177884615384615,0.5,Average,1,6
2310,10.536858974358974,0.5,Average,1,6
2340,11.09775641025641,0.5,Average,1,6
2370,12.279647435897436,0.5,Average,1,6
2400,11.227964743589743,0.5,Average,1,6
2430,12.19951923076923,0.5,Average,1,6
2460,10.77724358974359,0.5,Average,1,6
2490,11.87900641025641,0.5,Average,1,6
2520,12.540064102564102,0.5,Average,1,6
2550,12.469951923076923,0.5,Average,1,6
2580,12.439903846153847,0.5,Average,1,6
2610,12.66025641025641,0.5,Average,1,6
2640,12.099358974358974,0.5,Average,1,6
2670,11.107772435897436,0.5,Average,1,6
2700,11.197916666666666,0.5,Average,1,6
2730,11.608573717948717,0.5,Average,1,6
2760,10.77724358974359,0.5,Average,1,6
2790,11.18790064102564,0.5,Average,1,6
2820,10.516826923076923,0.5,Average,1,6
2850,12.279647435897436,0.5,Average,1,6
2880,11.408253205128204,0.5,Average,1,6
2910,11.778846153846153,0.5,Average,1,6
2940,11.538461538461538,0.5,Average,1,6
2970,10.957532051282051,0.5,Average,1,6
3000,11.80889423076923,0.5,Average,1,6
30,9.99599358974359,0.7,Average,1,6
60,10.026041666666666,0.7,Average,1,6
90,12.299679487179487,0.7,Average,1,6
120,9.274839743589743,0.7,Average,1,6
150,9.90584935897436,0.7,Average,1,6
180,10.01602564102564,0.7,Average,1,6
210,9.745592948717949,0.7,Average,1,6
240,9.895833333333334,0.7,Average,1,6
270,10.086137820512821,0.7,Average,1,6
300,10.486778846153847,0.7,Average,1,6
330,9.375,0.7,Average,1,6
360,9.595352564102564,0.7,Average,1,6
390,10.036057692307692,0.7,Average,1,6
420,9.875801282051283,0.7,Average,1,6
450,9.495192307692308,0.7,Average,1,6
480,9.785657051282051,0.7,Average,1,6
510,8.984375,0.7,Average,1,6
540,9.62540064102564,0.7,Average,1,6
570,9.945913461538462,0.7,Average,1,6
600,10.006009615384615,0.7,Average,1,6
630,10.146233974358974,0.7,Average,1,6
660,9.975961538461538,0.7,Average,1,6
690,10.546875,0.7,Average,1,6
720,10.026041666666666,0.7,Average,1,6
750,10.206330128205128,0.7,Average,1,6
780,9.174679487179487,0.7,Average,1,6
810,9.975961538461538,0.7,Average,1,6
840,11.067708333333334,0.7,Average,1,6
870,11.007612179487179,0.7,Average,1,6
900,10.70713141025641,0.7,Average,1,6
930,10.006009615384615,0.7,Average,1,6
960,9.945913461538462,0.7,Average,1,6
990,9.304887820512821,0.7,Average,1,6
1020,9.985977564102564,0.7,Average,1,6
1050,10.336538461538462,0.7,Average,1,6
1080,10.106169871794872,0.7,Average,1,6
1110,9.024439102564102,0.7,Average,1,6
1140,10.06610576923077,0.7,Average,1,6
1170,9.975961538461538,0.7,Average,1,6
1200,10.266426282051283,0.7,Average,1,6
1230,10.006009615384615,0.7,Average,1,6
1260,10.036057692307692,0.7,Average,1,6
1290,9.985977564102564,0.7,Average,1,6
1320,10.006009615384615,0.7,Average,1,6
1350,10.01602564102564,0.7,Average,1,6
1380,9.955929487179487,0.7,Average,1,6
1410,10.036057692307692,0.7,Average,1,6
1440,9.99599358974359,0.7,Average,1,6
1470,9.735576923076923,0.7,Average,1,6
1500,10.006009615384615,0.7,Average,1,6
1530,10.096153846153847,0.7,Average,1,6
1560,10.006009615384615,0.7,Average,1,6
1590,8.934294871794872,0.7,Average,1,6
1620,9.99599358974359,0.7,Average,1,6
1650,9.99599358974359,0.7,Average,1,6
1680,10.006009615384615,0.7,Average,1,6
1710,10.45673076923077,0.7,Average,1,6
1740,9.955929487179487,0.7,Average,1,6
1770,9.99599358974359,0.7,Average,1,6
1800,10.196314102564102,0.7,Average,1,6
1830,9.645432692307692,0.7,Average,1,6
1860,10.366586538461538,0.7,Average,1,6
1890,9.885817307692308,0.7,Average,1,6
1920,10.807291666666666,0.7,Average,1,6
1950,10.036057692307692,0.7,Average,1,6
1980,9.99599358974359,0.7,Average,1,6
2010,10.006009615384615,0.7,Average,1,6
2040,9.845753205128204,0.7,Average,1,6
2070,10.006009615384615,0.7,Average,1,6
2100,9.955929487179487,0.7,Average,1,6
2130,9.975961538461538,0.7,Average,1,6
2160,10.01602564102564,0.7,Average,1,6
2190,9.965945512820513,0.7,Average,1,6
2220,9.99599358974359,0.7,Average,1,6
2250,10.006009615384615,0.7,Average,1,6
2280,10.06610576923077,0.7,Average,1,6
2310,10.647035256410257,0.7,Average,1,6
2340,10.026041666666666,0.7,Average,1,6
2370,10.717147435897436,0.7,Average,1,6
2400,10.506810897435898,0.7,Average,1,6
2430,10.466746794871796,0.7,Average,1,6
2460,10.596955128205128,0.7,Average,1,6
2490,9.875801282051283,0.7,Average,1,6
2520,9.92588141025641,0.7,Average,1,6
2550,9.965945512820513,0.7,Average,1,6
2580,9.90584935897436,0.7,Average,1,6
2610,9.985977564102564,0.7,Average,1,6
2640,9.955929487179487,0.7,Average,1,6
2670,9.915865384615385,0.7,Average,1,6
2700,9.985977564102564,0.7,Average,1,6
2730,9.99599358974359,0.7,Average,1,6
2760,10.036057692307692,0.7,Average,1,6
2790,10.076121794871796,0.7,Average,1,6
2820,10.046073717948717,0.7,Average,1,6
2850,9.975961538461538,0.7,Average,1,6
2880,9.985977564102564,0.7,Average,1,6
2910,9.99599358974359,0.7,Average,1,6
