Iterations,Accuracy (%),ATK,$|\mathcal{B}|$,seed
30,51.432291666666664,GA,1,1
60,74.21875,GA,1,1
90,78.75600961538461,GA,1,1
120,80.69911858974359,GA,1,1
150,84.30488782051282,GA,1,1
180,85.9375,GA,1,1
210,88.1610576923077,GA,1,1
240,88.93229166666667,GA,1,1
270,89.56330128205128,GA,1,1
300,90.47475961538461,GA,1,1
330,91.29607371794872,GA,1,1
360,91.5264423076923,GA,1,1
390,91.86698717948718,GA,1,1
420,92.05729166666667,GA,1,1
450,92.1875,GA,1,1
480,92.60817307692308,GA,1,1
510,92.91866987179488,GA,1,1
540,93.18910256410257,GA,1,1
570,93.51963141025641,GA,1,1
600,93.75,GA,1,1
630,93.80008012820512,GA,1,1
660,94.04046474358974,GA,1,1
690,94.28084935897436,GA,1,1
720,94.43108974358974,GA,1,1
750,94.60136217948718,GA,1,1
780,94.64142628205128,GA,1,1
810,94.87179487179488,GA,1,1
840,95.03205128205128,GA,1,1
870,95.09214743589743,GA,1,1
900,95.25240384615384,GA,1,1
930,95.34254807692308,GA,1,1
960,95.49278846153847,GA,1,1
990,95.56290064102564,GA,1,1
1020,95.6229967948718,GA,1,1
1050,95.68309294871794,GA,1,1
1080,95.91346153846153,GA,1,1
1110,95.96354166666667,GA,1,1
1140,96.0136217948718,GA,1,1
1170,96.07371794871794,GA,1,1
1200,96.19391025641026,GA,1,1
1230,96.26402243589743,GA,1,1
1260,96.23397435897436,GA,1,1
1290,96.37419871794872,GA,1,1
1320,96.33413461538461,GA,1,1
1350,96.484375,GA,1,1
1380,96.6045673076923,GA,1,1
1410,96.63461538461539,GA,1,1
1440,96.68469551282051,GA,1,1
1470,96.72475961538461,GA,1,1
1500,96.77483974358974,GA,1,1
30,42.40785256410256,GA,2,1
60,61.27804487179487,GA,2,1
90,77.57411858974359,GA,2,1
120,81.14983974358974,GA,2,1
150,83.21314102564102,GA,2,1
180,84.79567307692308,GA,2,1
210,87.47996794871794,GA,2,1
240,88.46153846153847,GA,2,1
270,89.30288461538461,GA,2,1
300,90.03405448717949,GA,2,1
330,90.86538461538461,GA,2,1
360,91.16586538461539,GA,2,1
390,91.6766826923077,GA,2,1
420,91.93709935897436,GA,2,1
450,92.2676282051282,GA,2,1
480,92.76842948717949,GA,2,1
510,93.10897435897436,GA,2,1
540,93.22916666666667,GA,2,1
570,93.51963141025641,GA,2,1
600,93.8301282051282,GA,2,1
630,93.95032051282051,GA,2,1
660,94.2608173076923,GA,2,1
690,94.44110576923077,GA,2,1
720,94.54126602564102,GA,2,1
750,94.70152243589743,GA,2,1
780,94.81169871794872,GA,2,1
810,95.09214743589743,GA,2,1
840,95.24238782051282,GA,2,1
870,95.2323717948718,GA,2,1
900,95.41266025641026,GA,2,1
930,95.47275641025641,GA,2,1
960,95.45272435897436,GA,2,1
990,95.69310897435898,GA,2,1
1020,95.7431891025641,GA,2,1
1050,95.79326923076923,GA,2,1
1080,95.92347756410257,GA,2,1
1110,96.11378205128206,GA,2,1
1140,96.07371794871794,GA,2,1
1170,96.11378205128206,GA,2,1
1200,96.1738782051282,GA,2,1
1230,96.37419871794872,GA,2,1
1260,96.42427884615384,GA,2,1
1290,96.53445512820512,GA,2,1
