Iterations,Accuracy (%),ATK,Aggregator,seed,f,niid
30,37.68028846153846,GA,FGC,1,1,0.1
60,69.46113782051282,GA,FGC,1,1,0.1
90,80.64903846153847,GA,FGC,1,1,0.1
120,82.56209935897436,GA,FGC,1,1,0.1
150,84.94591346153847,GA,FGC,1,1,0.1
180,86.60857371794872,GA,FGC,1,1,0.1
210,88.08092948717949,GA,FGC,1,1,0.1
240,88.87219551282051,GA,FGC,1,1,0.1
270,89.44310897435898,GA,FGC,1,1,0.1
300,90.20432692307692,GA,FGC,1,1,0.1
330,90.85536858974359,GA,FGC,1,1,0.1
360,91.25600961538461,GA,FGC,1,1,0.1
390,91.59655448717949,GA,FGC,1,1,0.1
420,92.1073717948718,GA,FGC,1,1,0.1
450,92.29767628205128,GA,FGC,1,1,0.1
480,92.64823717948718,GA,FGC,1,1,0.1
510,92.6983173076923,GA,FGC,1,1,0.1
540,93.02884615384616,GA,FGC,1,1,0.1
570,93.359375,GA,FGC,1,1,0.1
600,93.54967948717949,GA,FGC,1,1,0.1
630,93.75,GA,FGC,1,1,0.1
660,93.97035256410257,GA,FGC,1,1,0.1
690,94.08052884615384,GA,FGC,1,1,0.1
720,94.40104166666667,GA,FGC,1,1,0.1
750,94.4511217948718,GA,FGC,1,1,0.1
780,94.72155448717949,GA,FGC,1,1,0.1
810,94.78165064102564,GA,FGC,1,1,0.1
840,94.921875,GA,FGC,1,1,0.1
870,94.95192307692308,GA,FGC,1,1,0.1
900,95.08213141025641,GA,FGC,1,1,0.1
930,95.1923076923077,GA,FGC,1,1,0.1
960,95.3525641025641,GA,FGC,1,1,0.1
990,95.45272435897436,GA,FGC,1,1,0.1
1020,95.46274038461539,GA,FGC,1,1,0.1
1050,95.51282051282051,GA,FGC,1,1,0.1
1080,95.65304487179488,GA,FGC,1,1,0.1
1110,95.7431891025641,GA,FGC,1,1,0.1
1140,95.8233173076923,GA,FGC,1,1,0.1
1170,95.87339743589743,GA,FGC,1,1,0.1
1200,95.94350961538461,GA,FGC,1,1,0.1
1230,96.10376602564102,GA,FGC,1,1,0.1
1260,96.1338141025641,GA,FGC,1,1,0.1
1290,96.15384615384616,GA,FGC,1,1,0.1
1320,96.2139423076923,GA,FGC,1,1,0.1
1350,96.39423076923077,GA,FGC,1,1,0.1
1380,96.41426282051282,GA,FGC,1,1,0.1
1410,96.39423076923077,GA,FGC,1,1,0.1
1440,96.55448717948718,GA,FGC,1,1,0.1
