Iterations,Accuracy (%),niid,Aggregator,seed,f
30,23.377403846153847,0.3,Average,1,6
60,37.07932692307692,0.3,Average,1,6
90,42.317708333333336,0.3,Average,1,6
120,46.03365384615385,0.3,Average,1,6
150,50.17027243589744,0.3,Average,1,6
180,53.48557692307692,0.3,Average,1,6
210,50.260416666666664,0.3,Average,1,6
240,53.60576923076923,0.3,Average,1,6
270,61.96915064102564,0.3,Average,1,6
300,54.997996794871796,0.3,Average,1,6
330,45.94350961538461,0.3,Average,1,6
360,66.30608974358974,0.3,Average,1,6
390,63.03084935897436,0.3,Average,1,6
420,45.56290064102564,0.3,Average,1,6
450,52.734375,0.3,Average,1,6
480,49.72956730769231,0.3,Average,1,6
510,51.73277243589744,0.3,Average,1,6
540,56.47035256410256,0.3,Average,1,6
570,55.578926282051285,0.3,Average,1,6
600,48.87820512820513,0.3,Average,1,6
630,37.98076923076923,0.3,Average,1,6
660,34.685496794871796,0.3,Average,1,6
690,40.57491987179487,0.3,Average,1,6
720,44.28084935897436,0.3,Average,1,6
750,40.94551282051282,0.3,Average,1,6
780,36.09775641025641,0.3,Average,1,6
810,42.42788461538461,0.3,Average,1,6
840,38.47155448717949,0.3,Average,1,6
870,39.342948717948715,0.3,Average,1,6
900,38.571714743589745,0.3,Average,1,6
930,51.92307692307692,0.3,Average,1,6
960,47.46594551282051,0.3,Average,1,6
990,42.087339743589745,0.3,Average,1,6
1020,41.19591346153846,0.3,Average,1,6
1050,44.94190705128205,0.3,Average,1,6
1080,37.83052884615385,0.3,Average,1,6
1110,39.54326923076923,0.3,Average,1,6
1140,60.657051282051285,0.3,Average,1,6
1170,41.927083333333336,0.3,Average,1,6
1200,59.264823717948715,0.3,Average,1,6
1230,49.689503205128204,0.3,Average,1,6
1260,48.68790064102564,0.3,Average,1,6
1290,61.47836538461539,0.3,Average,1,6
1320,46.60456730769231,0.3,Average,1,6
1350,40.705128205128204,0.3,Average,1,6
1380,41.13581730769231,0.3,Average,1,6
1410,41.96714743589744,0.3,Average,1,6
1440,32.942708333333336,0.3,Average,1,6
1470,45.46274038461539,0.3,Average,1,6
1500,40.78525641025641,0.3,Average,1,6
30,22.606169871794872,0.5,Average,1,6
60,27.834535256410255,0.5,Average,1,6
90,15.254407051282051,0.5,Average,1,6
120,27.093349358974358,0.5,Average,1,6
150,35.39663461538461,0.5,Average,1,6
180,45.17227564102564,0.5,Average,1,6
