Iterations,Accuracy (%),Attack,Aggregator,seed,f,s
30,55.86939102564103,GA,FGC,1,2,0
60,80.68910256410257,GA,FGC,1,2,0
90,84.40504807692308,GA,FGC,1,2,0
120,87.30969551282051,GA,FGC,1,2,0
150,89.21274038461539,GA,FGC,1,2,0
180,89.9238782051282,GA,FGC,1,2,0
210,91.00560897435898,GA,FGC,1,2,0
240,91.8369391025641,GA,FGC,1,2,0
270,92.05729166666667,GA,FGC,1,2,0
300,92.64823717948718,GA,FGC,1,2,0
330,93.53966346153847,GA,FGC,1,2,0
360,93.67988782051282,GA,FGC,1,2,0
390,93.94030448717949,GA,FGC,1,2,0
420,94.25080128205128,GA,FGC,1,2,0
450,94.46113782051282,GA,FGC,1,2,0
480,94.78165064102564,GA,FGC,1,2,0
510,94.91185897435898,GA,FGC,1,2,0
540,95.2323717948718,GA,FGC,1,2,0
570,95.37259615384616,GA,FGC,1,2,0
600,95.76322115384616,GA,FGC,1,2,0
630,96.03365384615384,GA,FGC,1,2,0
660,96.15384615384616,GA,FGC,1,2,0
690,96.31410256410257,GA,FGC,1,2,0
720,96.3641826923077,GA,FGC,1,2,0
750,96.58453525641026,GA,FGC,1,2,0
780,96.63461538461539,GA,FGC,1,2,0
810,96.7548076923077,GA,FGC,1,2,0
840,96.78485576923077,GA,FGC,1,2,0
870,96.90504807692308,GA,FGC,1,2,0
900,97.09535256410257,GA,FGC,1,2,0
930,97.17548076923077,GA,FGC,1,2,0
960,97.31570512820512,GA,FGC,1,2,0
990,97.35576923076923,GA,FGC,1,2,0
1020,97.44591346153847,GA,FGC,1,2,0
1050,97.40584935897436,GA,FGC,1,2,0
1080,97.59615384615384,GA,FGC,1,2,0
1110,97.63621794871794,GA,FGC,1,2,0
1140,97.67628205128206,GA,FGC,1,2,0
1170,97.54607371794872,GA,FGC,1,2,0
1200,97.75641025641026,GA,FGC,1,2,0
1230,97.7363782051282,GA,FGC,1,2,0
1260,97.86658653846153,GA,FGC,1,2,0
1290,97.89663461538461,GA,FGC,1,2,0
1320,97.82652243589743,GA,FGC,1,2,0
1350,97.89663461538461,GA,FGC,1,2,0
1380,97.98677884615384,GA,FGC,1,2,0
1410,97.95673076923077,GA,FGC,1,2,0
1440,97.94671474358974,GA,FGC,1,2,0
1470,98.0068108974359,GA,FGC,1,2,0
1500,98.10697115384616,GA,FGC,1,2,0
30,65.12419871794872,GA,FGC,1,4,0
60,78.95633012820512,GA,FGC,1,4,0
90,81.94110576923077,GA,FGC,1,4,0
120,86.78886217948718,GA,FGC,1,4,0
150,88.3213141025641,GA,FGC,1,4,0
180,89.67347756410257,GA,FGC,1,4,0
210,90.64503205128206,GA,FGC,1,4,0
240,91.38621794871794,GA,FGC,1,4,0
270,92.02724358974359,GA,FGC,1,4,0
300,92.6983173076923,GA,FGC,1,4,0
330,92.8886217948718,GA,FGC,1,4,0
360,93.49959935897436,GA,FGC,1,4,0
390,93.97035256410257,GA,FGC,1,4,0
420,94.29086538461539,GA,FGC,1,4,0
450,94.53125,GA,FGC,1,4,0
480,94.82171474358974,GA,FGC,1,4,0
510,95.16225961538461,GA,FGC,1,4,0
540,95.3926282051282,GA,FGC,1,4,0
570,95.6229967948718,GA,FGC,1,4,0
600,95.75320512820512,GA,FGC,1,4,0
630,96.15384615384616,GA,FGC,1,4,0
660,96.10376602564102,GA,FGC,1,4,0
690,96.23397435897436,GA,FGC,1,4,0
720,96.27403846153847,GA,FGC,1,4,0
750,96.3641826923077,GA,FGC,1,4,0
780,96.50440705128206,GA,FGC,1,4,0
810,96.74479166666667,GA,FGC,1,4,0
840,96.94511217948718,GA,FGC,1,4,0
870,96.94511217948718,GA,FGC,1,4,0
900,96.94511217948718,GA,FGC,1,4,0
930,97.11538461538461,GA,FGC,1,4,0
960,97.3457532051282,GA,FGC,1,4,0
990,97.33573717948718,GA,FGC,1,4,0
1020,97.29567307692308,GA,FGC,1,4,0
1050,97.3858173076923,GA,FGC,1,4,0
1080,97.5360576923077,GA,FGC,1,4,0
1110,97.63621794871794,GA,FGC,1,4,0
1140,97.62620192307692,GA,FGC,1,4,0
1170,97.75641025641026,GA,FGC,1,4,0
1200,97.68629807692308,GA,FGC,1,4,0
1230,97.75641025641026,GA,FGC,1,4,0
1260,97.83653846153847,GA,FGC,1,4,0
1290,97.98677884615384,GA,FGC,1,4,0
1320,97.93669871794872,GA,FGC,1,4,0
1350,98.02684294871794,GA,FGC,1,4,0
1380,98.0869391025641,GA,FGC,1,4,0
1410,98.0068108974359,GA,FGC,1,4,0
1440,98.07692307692308,GA,FGC,1,4,0
1470,98.02684294871794,GA,FGC,1,4,0
