Iterations,Accuracy (%),Attack,Aggregator,seed,niid,s
30,69.63141025641026,GA,FGC,1,0.4,0
60,79.53725961538461,GA,FGC,1,0.4,0
90,85.44671474358974,GA,FGC,1,0.4,0
120,87.07932692307692,GA,FGC,1,0.4,0
150,88.73197115384616,GA,FGC,1,0.4,0
180,90.21434294871794,GA,FGC,1,0.4,0
210,91.19591346153847,GA,FGC,1,0.4,0
240,91.73677884615384,GA,FGC,1,0.4,0
270,92.47796474358974,GA,FGC,1,0.4,0
300,92.98878205128206,GA,FGC,1,0.4,0
330,93.19911858974359,GA,FGC,1,0.4,0
360,93.72996794871794,GA,FGC,1,0.4,0
390,94.1005608974359,GA,FGC,1,0.4,0
420,94.140625,GA,FGC,1,0.4,0
450,94.52123397435898,GA,FGC,1,0.4,0
480,95.03205128205128,GA,FGC,1,0.4,0
510,95.13221153846153,GA,FGC,1,0.4,0
540,95.40264423076923,GA,FGC,1,0.4,0
570,95.42267628205128,GA,FGC,1,0.4,0
600,95.51282051282051,GA,FGC,1,0.4,0
630,95.72315705128206,GA,FGC,1,0.4,0
660,95.94350961538461,GA,FGC,1,0.4,0
690,96.20392628205128,GA,FGC,1,0.4,0
720,96.34415064102564,GA,FGC,1,0.4,0
750,96.51442307692308,GA,FGC,1,0.4,0
780,96.53445512820512,GA,FGC,1,0.4,0
810,96.78485576923077,GA,FGC,1,0.4,0
840,96.73477564102564,GA,FGC,1,0.4,0
870,96.80488782051282,GA,FGC,1,0.4,0
900,96.7948717948718,GA,FGC,1,0.4,0
930,97.01522435897436,GA,FGC,1,0.4,0
960,97.10536858974359,GA,FGC,1,0.4,0
990,97.04527243589743,GA,FGC,1,0.4,0
1020,97.17548076923077,GA,FGC,1,0.4,0
1050,97.1854967948718,GA,FGC,1,0.4,0
1080,97.41586538461539,GA,FGC,1,0.4,0
1110,97.27564102564102,GA,FGC,1,0.4,0
1140,97.51602564102564,GA,FGC,1,0.4,0
1170,97.5360576923077,GA,FGC,1,0.4,0
1200,97.5761217948718,GA,FGC,1,0.4,0
1230,97.54607371794872,GA,FGC,1,0.4,0
1260,97.7363782051282,GA,FGC,1,0.4,0
1290,97.68629807692308,GA,FGC,1,0.4,0
1320,97.79647435897436,GA,FGC,1,0.4,0
1350,97.85657051282051,GA,FGC,1,0.4,0
1380,97.90665064102564,GA,FGC,1,0.4,0
1410,97.88661858974359,GA,FGC,1,0.4,0
1440,97.91666666666667,GA,FGC,1,0.4,0
1470,97.98677884615384,GA,FGC,1,0.4,0
1500,98.0869391025641,GA,FGC,1,0.4,0
30,74.32892628205128,GA,FGC,1,0.5,0
60,81.73076923076923,GA,FGC,1,0.5,0
90,85.43669871794872,GA,FGC,1,0.5,0
120,87.33974358974359,GA,FGC,1,0.5,0
150,89.19270833333333,GA,FGC,1,0.5,0
180,90.26442307692308,GA,FGC,1,0.5,0
210,91.40625,GA,FGC,1,0.5,0
240,91.62660256410257,GA,FGC,1,0.5,0
270,92.37780448717949,GA,FGC,1,0.5,0
300,92.9286858974359,GA,FGC,1,0.5,0
330,93.28926282051282,GA,FGC,1,0.5,0
360,93.56971153846153,GA,FGC,1,0.5,0
390,94.05048076923077,GA,FGC,1,0.5,0
420,94.43108974358974,GA,FGC,1,0.5,0
450,94.59134615384616,GA,FGC,1,0.5,0
480,94.78165064102564,GA,FGC,1,0.5,0
510,95.0420673076923,GA,FGC,1,0.5,0
540,95.16225961538461,GA,FGC,1,0.5,0
570,95.61298076923077,GA,FGC,1,0.5,0
600,95.7832532051282,GA,FGC,1,0.5,0
630,95.90344551282051,GA,FGC,1,0.5,0
660,95.98357371794872,GA,FGC,1,0.5,0
690,96.14383012820512,GA,FGC,1,0.5,0
720,96.29407051282051,GA,FGC,1,0.5,0
750,96.37419871794872,GA,FGC,1,0.5,0
780,96.49439102564102,GA,FGC,1,0.5,0
